playerId,season,name,team,position,situation,games_played,icetime,minutes/game,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted
8482087,2023,Kaiden Guhle,MTL,D,all,35,43284,20.61142857,0.41,0.42,0.43,46.9,2.34,2.77,13.59,1.67,26.94,19.7,2.29,2.36,2.31,4,3,50,17,35,102,10,3,2,2,7,0,26,29,47,64,14,31,0,51,12,26,61,5,1,1.39,0.65,0.31,1,1,1,100.96,67,66.31,21,0.58,0.62,0.49,2.43,2.46,2.42,823,61,119,139,504,82,132,112,497,0,0,85623,7,97,305.44,27.4,26.16,27.37,26.11,284,142,167,593,31,33,10,325,70,31,9.43,8.76,9.22,6,12,13,586.21,426,422.73,4.15,7.28,7.19,24.36,24.24,23.91,418.18,39.92,38.18,40.27,38.53,406,166,256,828,43,44,3,427,100,45,12.44,12.26,15.22,12,19,12,837.65,572,576.95,6.57,8.08,8.08,38.4,38.66,37.83
8477508,2023,Curtis Lazar,NJD,C,all,33,24748,12.4989899,0.49,0.48,0.48,33.72,3.31,2.27,8.06,1.16,17.22,13.98,3.19,3.37,3.25,5,4,33,13,15,61,13,4,2,1,4,0,17,19,29,42,8,16,46,63,10,6,33,9,4,0.99,1.21,1.11,2,0,2,61.8,46,46.61,4,0.49,0.42,0.33,3.46,3.54,3.47,629,49,92,112,376,86,90,90,363,46,36,94591,9,28,183.05,16.25,15.7,16.42,15.86,184,65,99,348,22,21,5,191,36,22,5.13,4.82,6.3,8,7,7,351.44,249,252.16,2.46,4.18,4.24,14.47,14.52,14.25,199.71,16.8,16.36,17.03,16.58,195,80,109,384,21,11,1,212,47,16,5.55,5.97,5.28,7,8,6,387.38,275,276.6,3.01,2.31,2.31,17.51,17.74,17.4
8480950,2023,Ilya Lyubushkin,ANA,D,all,39,40293,17.21923077,0.34,0.35,0.37,30.62,1.85,1.71,8.67,1.12,16.57,13.09,1.78,1.82,1.75,2,2,27,16,21,64,4,0,2,0,6,0,14,21,27,43,17,37,0,65,14,18,38,4,1,0.9,0.56,0.4,0,0,0,62.76,43,42.13,17,0.36,0.65,0.51,1.7,1.69,1.66,870,84,161,130,495,85,140,105,540,0,0,101014,8,101,268.34,25.44,24.26,25.05,23.89,267,99,113,479,21,24,4,286,52,28,8.09,6.71,10.65,5,7,9,467.91,366,357.2,3.47,6.07,6.28,22.63,22.26,21.51,461.5,48.38,44.08,48.88,44.57,452,177,257,886,44,54,6,440,133,56,12.01,16.75,19.61,10,20,14,900.11,629,638.71,7.97,11.31,11.31,45.04,45.64,42.75
8480064,2023,Josh Norris,OTT,C,all,32,35599,18.54114583,0.55,0.56,0.56,80.33,9.23,5.35,17.69,2.64,44.33,28.77,8.89,9.13,8.78,1,7,84,24,39,147,20,12,5,1,20,0,36,35,72,96,8,16,215,32,11,22,71,28,9,2.21,3.3,3.73,1,6,5,146.64,108,107.64,7,1.28,1.01,1.51,9,8.92,8.77,846,159,103,154,430,88,102,110,546,215,193,80269,12,21,384.79,37.95,35.65,37.55,35.28,375,149,194,718,33,43,4,389,93,42,10.66,11.3,15.99,8,15,10,710.66,524,518.97,6.46,10.06,10.46,33.88,33.63,32.63,298.79,30.91,29.18,31.11,29.37,296,111,154,561,30,40,6,298,63,46,8.5,8.42,13.99,12,9,9,566.94,407,410.45,4.25,8.21,8.21,26.95,27.18,26.49
8476967,2023,Brett Kulak,EDM,D,all,36,31940,14.78703704,0.54,0.5,0.51,38.71,1.71,2,11.1,1.32,21.88,16.99,1.66,1.7,1.64,0,2,40,15,33,88,4,2,2,1,14,0,16,21,38,53,8,18,0,25,7,16,52,1,2,1.17,0.1,0.44,2,0,0,89.74,55,55.88,13,0.42,0.36,0.07,2.06,2.05,2.01,671,82,75,107,407,92,113,81,385,0,0,98670,2,38,258.18,24.17,23.14,24.34,23.32,248,103,124,475,20,29,4,254,70,27,7.56,8.81,7.8,7,10,3,482.69,351,354.16,3.65,5.3,5.74,22.08,22.3,21.77,243.81,20.48,20.02,20.56,20.09,239,99,145,483,28,20,6,256,63,19,7.38,7.36,5.74,9,12,7,480.69,338,338.68,3.35,3.13,3.13,20.7,20.67,20.44
8479318,2023,Auston Matthews,TOR,C,all,36,46306,21.43796296,0.64,0.6,0.61,180.99,24.67,13.8,37.48,6.01,96.13,63.92,21.8,24.56,21.71,12,3,161,81,69,311,45,30,18,1,32,0,76,86,131,212,1,2,309,38,36,22,146,66,30,5.45,8.12,11.09,14,8,8,311,242,240.89,12,3.26,3.4,5.85,22.09,22.08,20.13,841,157,82,157,445,89,100,138,514,309,282,86529,10,49,555.08,68.04,61.06,67.92,60.97,503,244,268,1015,63,60,5,508,155,84,16.45,19.04,32.54,24,17,22,1012.41,747,746.57,9.85,16.82,16.82,61.07,61.02,56.89,345.37,38.23,36.85,38.29,36.9,323,147,214,684,36,35,4,324,102,44,9.63,12.55,16.05,11,12,13,683.81,470,470.59,5.07,7.69,7.65,35.65,35.67,34.95
8477493,2023,Aleksander Barkov,FLA,C,all,36,41617,19.26712963,0.66,0.63,0.63,118.07,15.35,8.12,26.6,4,61.97,42.96,13.65,15.45,13.75,17,15,107,52,40,199,43,11,16,5,19,0,51,62,96,148,7,16,284,36,29,19,100,42,17,2.81,5.32,7.22,2,4,5,200.87,159,160.45,6,1.9,3.14,4.17,13.08,13.15,12.25,865,185,149,125,406,109,94,152,510,284,239,88600,9,25,503.61,65.06,56.99,65.51,57.43,488,200,270,958,60,58,13,484,113,91,12.83,13.95,38.27,14,18,28,966.96,688,694.6,8.86,14.31,14.31,59.59,59.94,53.53,291.97,33.6,32.46,33.56,32.43,283,120,166,569,27,32,4,282,79,42,8.28,9.82,15.5,7,7,13,564.02,403,399.52,4.7,6.53,6.53,31.76,31.73,30.99
8474641,2023,Adam Henrique,ANA,C,all,38,38366,16.82719298,0.47,0.47,0.47,77.25,11.39,5.59,17.08,2.76,41.32,28.87,10.52,11.22,10.37,5,5,66,41,30,137,20,10,7,1,12,0,41,37,56,97,7,14,312,23,17,5,65,22,20,1.94,2.7,6.75,1,0,9,134.32,107,104.41,0,1.33,1.37,3.39,9.32,9.25,8.88,830,125,151,125,429,99,116,126,489,312,265,99341,4,33,316.6,34.43,32.5,34.05,32.16,305,131,164,600,29,31,3,313,74,49,8.15,8.7,17.58,5,4,20,587.33,436,427.89,4.87,6.49,6.49,32.81,32.56,31.26,352.24,39.4,36.49,39.88,36.96,334,153,191,678,27,36,3,336,107,44,9.44,13.6,16.36,8,10,9,690.42,487,496.38,5.81,7.09,7.09,38.12,38.59,36.33
8479419,2023,Brett Murray,BUF,L,all,2,956,7.966666667,0.74,0.67,0.62,0.9,0.32,0.07,0.15,0.02,0.28,0.15,0.32,0.33,0.33,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,4,1,0,0,0,1,0,0,0.32,0,0,0,1.07,1,1.05,0,0.02,0,0,0.34,0.34,0.34,23,4,0,4,15,5,2,4,12,1,0,6244,0,0,6.35,0.51,0.51,0.52,0.52,8,0,2,10,0,0,0,7,0,1,0.19,0,0.32,0,0,0,10.79,8,8.37,0.07,0,0,0.58,0.59,0.59,3.48,0.18,0.18,0.19,0.19,2,3,0,5,1,0,0,5,0,0,0.18,0,0,1,0,0,4.77,5,4.87,0.04,0,0,0.22,0.22,0.22
8480025,2023,MacKenzie Entwistle,CHI,R,all,31,21016,11.29892473,0.34,0.43,0.43,32.04,3,2.1,7.7,1.12,17.23,13.84,2.93,3.01,2.94,1,2,35,10,16,61,5,2,2,0,9,0,18,14,33,43,7,17,67,50,18,6,32,10,3,0.9,1.25,0.84,2,0,0,60.56,45,45.25,4,0.44,0.33,0.39,3.05,3.08,3.02,452,30,43,72,307,71,64,54,263,67,89,91481,6,16,151.35,12.06,11.84,12.04,11.82,163,47,92,302,7,9,1,162,38,10,4.24,4.72,3.1,5,0,2,298.18,210,209.06,2,1.96,1.96,12.1,12.09,11.96,204.36,23,21.43,23.08,21.5,204,78,111,393,28,25,8,193,60,29,6.06,7.6,9.35,8,8,12,398.38,282,284.41,3.25,6.31,6.31,19.94,19.94,19.29
