playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482087,2023,Kaiden Guhle,MTL,D,other,35,1434,24,8.2,0.48,0.5,0.27,0.5,0.3,0.49,63,1.62,0.34,0.08,0.36,0.06,0.54,0.62,0.31,0.34,0.31,0,0,2,0,2,4,1,1,0,1,0,0,0,1,1,1,0,0,0,2,2,2,1,0,1,0.03,0,0.31,0,0,1,4,2,2,1,0.02,0,0.31,0.05,0.05,0.05,24,2,7,4,11,4,3,2,15,0,0,2209,0,0,0,6,10.07,2.49,2.43,2.49,2.43,10,4,3,17,4,1,1,4,6,4,0.22,0.7,1.57,0,1,3,17,14,14,0.16,0.31,0.31,2.34,2.34,2.3,24.5,2.67,2.64,2.67,2.64,24,9,14,47,5,0,0,22,8,3,0.76,0.99,0.92,0,3,2,47,33,33,0.51,0,0,3.18,3.18,3.14,5.52,5.47,52,53,0.04,0,1,0,1,0
8482087,2023,Kaiden Guhle,MTL,D,all,35,43284,823,8.7,0.41,0.48,0.42,0.49,0.43,0.49,98,46.9,2.34,2.77,13.59,1.67,26.94,19.7,2.29,2.36,2.31,4,3,50,17,35,102,10,3,2,2,7,0,26,29,47,64,14,31,0,51,12,26,61,5,1,1.39,0.65,0.31,1,1,1,100.96,67,66.31,21,0.58,0.62,0.49,2.43,2.46,2.42,823,61,119,139,504,82,132,112,497,0,0,85623,31,17,7,97,305.44,27.4,26.16,27.37,26.11,284,142,167,593,31,33,10,325,70,31,9.43,8.76,9.22,6,12,13,586.21,426,422.73,4.15,7.28,7.19,24.36,24.24,23.91,418.18,39.92,38.18,40.27,38.53,406,166,256,828,43,44,3,427,100,45,12.44,12.26,15.22,12,19,12,837.65,572,576.95,6.57,8.08,8.08,38.4,38.66,37.83,72.49,77.69,1406,1468,0,0,0,0,0,0
8482087,2023,Kaiden Guhle,MTL,D,5on5,35,37768,688,8.7,0.46,0.47,0.46,0.47,0.47,0.47,86,41.62,1.76,2.47,12.31,1.48,24.76,17.22,1.74,1.78,1.76,4,3,45,15,29,89,9,2,2,1,7,0,25,24,43,58,11,22,0,45,9,23,55,5,0,1.12,0.65,0,1,1,0,87.96,60,59.31,19,0.5,0.62,0.18,2.08,2.11,2.09,688,52,70,127,439,73,111,94,410,0,0,65756,22,12,6,71,278.06,23.45,22.28,23.42,22.23,258,130,158,546,25,31,9,300,63,25,8.48,7.91,7.06,6,11,8,539.21,388,384.73,3.74,6.96,6.87,20.32,20.2,19.93,323.19,27.51,26.19,27.86,26.54,309,135,201,645,29,34,2,334,82,28,9.79,10.13,7.59,12,15,2,654.65,444,448.95,4.36,6.29,6.29,25.57,25.83,25.36,43.6,49.52,1003,1128,1.78,0.08,58,7,40,5
8482087,2023,Kaiden Guhle,MTL,D,4on5,35,3788,82,8.85,0.08,0.1,0.09,0.13,0.11,0.14,103,0.72,0.05,0.04,0.07,0.02,0.24,0.58,0.05,0.05,0.05,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,3,9,0,3,1,1,1,0,0,0.05,0,0,0,0,0,1,1,1,1,0.01,0,0,0.06,0.06,0.06,82,0,42,7,33,4,12,10,56,0,0,6394,9,0,0,0,8.09,0.81,0.81,0.81,0.81,8,3,1,12,2,0,0,9,0,2,0.23,0,0.59,0,0,2,12,11,11,0.1,0,0,0.91,0.91,0.91,65.87,9.18,8.8,9.18,8.8,67,22,37,126,9,10,1,66,10,13,1.61,1.14,6.43,0,1,8,126,89,89,1.62,1.78,1.78,9.02,9.02,8.71,1.65,15.22,30,203,0,0,0,0,0,0
8482087,2023,Kaiden Guhle,MTL,D,5on4,35,294,29,4.2,1,0.8,1,0.85,1,0.81,59,0.78,0.05,0.06,0.37,0.03,0.36,0.13,0.04,0.05,0.04,0,0,1,0,4,5,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0.05,0,0,0,0,0,5,1,1,0,0.02,0,0,0.06,0.06,0.05,29,7,0,1,21,1,6,6,16,0,0,5924,0,0,0,10,3.25,0.29,0.28,0.29,0.28,4,1,5,10,0,1,0,4,1,0,0.14,0.15,0,0,0,0,10,5,5,0.08,0.01,0.01,0.36,0.36,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22,2.61,161,29,0,0,0,0,0,0
8477508,2023,Curtis Lazar,NJD,C,other,33,535,6,6.93,0.36,0.52,0.21,0.54,0.21,0.52,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,1,4,1,1,3,1,1,0,2088,0,0,0,1,2.84,0.87,0.85,0.87,0.85,3,1,1,5,2,0,0,2,1,1,0.09,0.09,0.69,0,1,1,5,4,4,0.05,0,0,0.92,0.92,0.89,10.32,1.58,1.56,1.58,1.56,12,3,4,19,2,0,0,12,2,1,0.49,0.26,0.83,0,1,1,19,15,15,0.24,0,0,1.82,1.82,1.79,7.17,6.61,54,46,0,0,0,0,0,0
8477508,2023,Curtis Lazar,NJD,C,all,33,24748,629,15.22,0.49,0.53,0.48,0.55,0.48,0.52,298,33.72,3.31,2.27,8.06,1.16,17.22,13.98,3.19,3.37,3.25,5,4,33,13,15,61,13,4,2,1,4,0,17,19,29,42,8,16,46,63,10,6,33,9,4,0.99,1.21,1.11,2,0,2,61.8,46,46.61,4,0.49,0.42,0.33,3.46,3.54,3.47,629,49,92,112,376,86,90,90,363,46,36,94591,16,18,9,28,183.05,16.25,15.7,16.42,15.86,184,65,99,348,22,21,5,191,36,22,5.13,4.82,6.3,8,7,7,351.44,249,252.16,2.46,4.18,4.24,14.47,14.52,14.25,199.71,16.8,16.36,17.03,16.58,195,80,109,384,21,11,1,212,47,16,5.55,5.97,5.28,7,8,6,387.38,275,276.6,3.01,2.31,2.31,17.51,17.74,17.4,97.07,86.93,1769,1437,0,0,0,0,0,0
8477508,2023,Curtis Lazar,NJD,C,5on5,33,21772,544,15.22,0.55,0.52,0.53,0.54,0.53,0.52,269,30.62,2.91,2.15,7.72,1.09,16.29,11.83,2.8,2.98,2.86,5,3,29,13,14,56,11,3,2,1,4,0,16,17,26,39,8,16,39,61,7,5,30,9,3,0.9,1.21,0.8,1,0,2,56.8,42,42.61,3,0.46,0.42,0.33,3.04,3.11,3.05,544,42,76,104,322,80,74,74,316,39,29,73754,16,18,9,24,174.16,14.79,14.26,14.96,14.42,173,64,97,334,19,21,5,183,34,20,4.87,4.62,5.3,7,6,6,337.44,237,240.16,2.35,4.18,4.24,12.9,12.95,12.72,154.03,12.1,11.76,12.33,11.97,150,60,88,298,15,9,1,163,35,12,4.1,4.61,3.39,6,6,3,301.38,210,211.6,2.02,2.05,2.05,12.07,12.3,12.07,57.09,53.03,1320,1103,0.96,0.7,14,15,10,14
8477508,2023,Curtis Lazar,NJD,C,4on5,33,2297,64,14.5,0.13,0.08,0.1,0.13,0.11,0.14,126,3.1,0.4,0.12,0.33,0.07,0.93,2.16,0.4,0.4,0.4,0,0,4,0,1,5,1,1,0,0,0,0,1,2,3,3,0,0,4,1,3,0,3,0,1,0.09,0,0.31,1,0,0,5,4,4,0,0.03,0,0,0.42,0.42,0.42,64,2,15,4,43,4,13,10,37,4,1,6754,0,0,0,0,4.61,0.43,0.42,0.43,0.42,6,0,1,7,1,0,0,5,0,1,0.12,0,0.31,1,0,0,7,6,6,0.04,0,0,0.47,0.47,0.46,34.44,2.99,2.91,2.99,2.91,32,17,17,66,4,2,0,37,9,3,0.96,0.96,1.07,1,1,2,66,49,49,0.75,0.26,0.26,3.48,3.48,3.4,1.18,13.15,26,182,0,0.09,0,1,0,1
8477508,2023,Curtis Lazar,NJD,C,5on4,33,144,15,3.41,0.55,0.84,0.67,0.91,0.67,0.86,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,1,3,7,1,2,3,9,2,1,3992,0,0,0,1,1.44,0.16,0.16,0.16,0.16,2,0,0,2,0,0,0,1,1,0,0.05,0.11,0,0,0,0,2,2,2,0.02,0,0,0.19,0.19,0.18,0.92,0.13,0.13,0.13,0.13,1,0,0,1,0,0,0,0,1,0,0,0.13,0,0,0,0,1,1,1,0.02,0,0,0.15,0.15,0.15,6.74,1.28,134,14,0,0,0,0,0,0
