,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
0,8471817,2022,Ryan Reaves,MIN,R,all,73,9.32,49.47,6.7,3.8,5,5,79,15,5,5,1,11,43,196,15,16,33,29,7,1.16,3.58,1.96,0,4,1,69,3rd line
1,8480950,2022,Ilya Lyubushkin,BUF,D,all,68,15.01,37.1,1.36,1.83,6,6,78,14,2,0,0,19,38,99,27,20,50,2,0,1.09,0.28,0.0,1,1,0,52,3rd pair
2,8475625,2022,Matt Irwin,WSH,D,all,61,13.04,69.79,2.44,3.85,1,2,140,5,2,4,0,12,36,117,9,18,97,5,0,1.98,0.46,0.0,2,0,0,102,3rd pair
3,8480860,2022,Kevin Bahl,NJD,D,all,42,14.02,32.17,1.21,1.81,2,4,79,8,2,5,0,11,25,64,8,12,46,1,0,1.13,0.08,0.0,1,1,0,47,3rd pair
4,8477952,2022,Robby Fabbri,DET,C,all,28,16.0,39.69,6.81,2.85,5,4,65,16,7,5,1,6,12,49,6,12,29,14,10,1.07,1.73,4.02,1,2,4,53,2nd line
5,8478047,2022,Michael Bunting,TOR,L,all,82,15.8,190.88,28.04,15.44,19,7,298,49,23,31,6,40,83,85,49,38,136,78,39,4.93,9.81,13.3,4,8,11,253,2nd line
6,8480113,2022,Alex Iafallo,LAK,L,all,59,16.3,123.75,14.72,8.92,13,9,218,36,14,12,3,10,20,27,28,9,110,45,15,3.34,5.58,5.8,3,7,4,170,2nd line
7,8473604,2022,Jonathan Toews,CHI,C,all,53,17.71,83.65,12.79,6.73,12,4,138,31,15,7,2,15,33,9,37,42,70,23,20,2.0,2.73,8.07,2,4,9,113,1st line
8,8473446,2022,Erik Johnson,COL,D,all,63,17.25,87.62,3.63,4.89,5,3,182,8,0,9,0,6,12,121,16,17,120,6,0,2.79,0.84,0.0,0,0,0,126,3rd pair
9,8478891,2022,Mason Appleton,WPG,C,all,41,16.02,66.72,7.51,4.58,6,5,109,16,5,5,2,4,8,47,12,11,58,29,6,1.76,3.51,2.23,0,2,3,93,2nd line
