,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
0,8482087,2023,Kaiden Guhle,MTL,D,all,35,20.61142857,46.9,2.34,2.77,4,3,102,10,3,2,14,31,51,12,26,61,5,1,1.39,0.65,0.31,1,1,1,67,3rd line
1,8477508,2023,Curtis Lazar,NJD,C,all,33,12.4989899,33.72,3.31,2.27,5,4,61,13,4,2,8,16,63,10,6,33,9,4,0.99,1.21,1.11,2,0,2,46,3rd pair
2,8480950,2023,Ilya Lyubushkin,ANA,D,all,39,17.21923077,30.62,1.85,1.71,2,2,64,4,0,2,17,37,65,14,18,38,4,1,0.9,0.56,0.4,0,0,0,43,3rd pair
3,8480064,2023,Josh Norris,OTT,C,all,32,18.54114583,80.33,9.23,5.35,1,7,147,20,12,5,8,16,32,11,22,71,28,9,2.21,3.3,3.73,1,6,5,108,3rd pair
4,8476967,2023,Brett Kulak,EDM,D,all,36,14.78703704,38.71,1.71,2.0,0,2,88,4,2,2,8,18,25,7,16,52,1,2,1.17,0.1,0.44,2,0,0,55,2nd line
5,8479318,2023,Auston Matthews,TOR,C,all,36,21.43796296,180.99,24.67,13.8,12,3,311,45,30,18,1,2,38,36,22,146,66,30,5.45,8.12,11.09,14,8,8,242,2nd line
6,8477493,2023,Aleksander Barkov,FLA,C,all,36,19.26712963,118.07,15.35,8.12,17,15,199,43,11,16,7,16,36,29,19,100,42,17,2.81,5.32,7.22,2,4,5,159,2nd line
7,8474641,2023,Adam Henrique,ANA,C,all,38,16.82719298,77.25,11.39,5.59,5,5,137,20,10,7,7,14,23,17,5,65,22,20,1.94,2.7,6.75,1,0,9,107,1st line
8,8479419,2023,Brett Murray,BUF,L,all,2,7.966666667,0.9,0.32,0.07,0,0,1,0,0,0,1,2,4,1,0,0,0,1,0.0,0.0,0.32,0,0,0,1,3rd pair
9,8480025,2023,MacKenzie Entwistle,CHI,R,all,31,11.29892473,32.04,3.0,2.1,1,2,61,5,2,2,7,17,50,18,6,32,10,3,0.9,1.25,0.84,2,0,0,45,2nd line
10,8476925,2023,Colton Sissons,NSH,C,all,40,16.82583333,76.87,11.62,6.61,8,1,130,21,12,11,9,18,61,16,11,54,35,16,1.92,4.6,5.1,0,6,6,105,1st line
11,8479343,2023,Clayton Keller,ARI,R,all,38,19.250438600000003,109.48,12.52,7.55,12,7,196,32,13,9,11,22,10,21,20,113,26,14,3.26,3.06,6.19,4,3,6,153,2nd line
12,8482720,2023,Matthew Knies,TOR,L,all,35,14.49904762,56.71,6.94,4.21,4,2,87,14,8,7,9,21,59,17,13,42,27,7,1.64,3.44,1.85,2,4,2,76,3rd pair
13,8480800,2023,Quinn Hughes,VAN,D,all,40,24.49291667,99.78,5.43,6.21,20,20,266,50,10,12,9,18,14,21,26,133,6,4,3.04,0.68,1.71,7,1,2,143,2nd line
14,8482109,2023,Alexis Lafrenire,NYR,L,all,39,17.16538462,105.28,11.71,7.32,10,5,180,25,10,7,6,12,25,24,13,94,37,13,3.42,4.54,3.75,2,6,2,144,3rd line
15,8475794,2023,Tyler Seguin,DAL,C,all,39,16.83974359,83.42,9.76,6.07,8,8,154,31,15,6,6,12,26,10,14,67,32,12,2.21,4.16,3.38,4,5,6,111,1st line
16,8475168,2023,Matt Duchene,DAL,C,all,38,17.13333333,95.52,12.36,7.06,16,8,176,35,11,10,4,8,15,19,22,80,36,13,3.3,4.5,4.56,4,3,4,129,3rd line
17,8476473,2023,Connor Murphy,CHI,D,all,40,19.86583333,41.13,1.26,2.07,2,4,95,7,1,3,17,40,86,12,24,57,1,1,0.94,0.12,0.2,0,1,0,59,2nd line
18,8476887,2023,Filip Forsberg,NSH,L,all,40,18.64791667,168.59,16.54,11.53,14,10,321,45,21,22,12,24,63,30,45,165,43,19,4.89,5.52,6.14,6,10,5,227,2nd line
19,8473446,2023,Erik Johnson,BUF,D,all,36,14.20185185,34.14,1.27,1.59,0,0,70,3,3,1,3,9,47,2,10,44,2,0,0.99,0.27,0.0,3,0,0,46,2nd line
20,8482712,2023,Oskar Olausson,COL,R,all,1,11.83333333,1.5,0.03,0.07,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0.03,0.0,0.0,0,0,0,2,3rd line
21,8480839,2023,Rasmus Dahlin,BUF,D,all,39,24.94871795,110.71,7.3,7.06,11,9,226,32,12,12,12,24,77,22,28,139,11,7,3.69,1.19,2.43,8,1,3,157,3rd line
22,8477986,2023,Brandon Montour,FLA,D,all,23,23.14202899,59.05,2.84,3.59,3,4,162,8,1,5,4,6,22,6,10,81,1,3,1.66,0.09,1.1,0,1,0,85,2nd pair
23,8482148,2023,Hendrix Lapierre,WSH,C,all,20,9.911666667,21.35,1.53,1.43,0,4,34,6,2,1,0,0,4,5,5,23,7,0,0.67,0.86,0.0,1,1,0,30,2nd line
24,8474034,2023,Pat Maroon,MIN,L,all,39,13.04529915,48.38,5.75,3.5,7,3,89,14,4,5,15,45,44,10,15,42,13,9,1.41,1.57,2.77,1,1,2,64,3rd pair
25,8478498,2023,Jake DeBrusk,BOS,L,all,38,16.87938596,89.99,11.26,6.6,7,4,161,19,8,9,6,12,36,12,9,78,28,16,2.43,3.52,5.31,0,3,5,122,1st line
26,8481593,2023,Jayden Struble,MTL,D,all,21,14.59047619,15.8,0.86,0.85,1,1,40,4,2,1,2,7,35,6,10,21,1,1,0.45,0.1,0.31,1,1,0,23,2nd line
27,8482073,2023,Braden Schneider,NYR,D,all,39,15.26153846,40.97,1.68,2.2,3,4,88,10,3,10,4,8,50,12,16,53,4,0,1.15,0.53,0.0,3,0,0,57,1st pair
28,8475324,2023,Nick Jensen,WSH,D,all,38,19.01447368,38.61,1.09,1.94,3,3,85,6,0,0,2,4,27,10,37,54,1,0,0.97,0.12,0.0,0,0,0,55,1st pair
29,8475754,2023,Brock Nelson,NYI,C,all,39,17.46965812,125.03,15.08,9.32,9,7,216,33,17,12,8,16,18,18,16,106,44,20,3.62,5.18,6.27,7,4,6,170,2nd pair
30,8476372,2023,Nick Seeler,PHI,D,all,40,17.1625,44.02,1.28,2.1,6,1,103,7,0,3,11,31,57,5,12,62,1,0,1.18,0.1,0.0,0,0,0,63,2nd pair
31,8482141,2023,Lukas Cormier,VGK,D,all,1,19.76666667,0.59,0.13,0.06,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0.0,0.13,0.0,0,0,0,1,2nd line
32,8478450,2023,Parker Wotherspoon,BOS,D,all,12,16.5625,8.56,0.25,0.47,0,2,24,2,0,1,4,9,17,5,6,13,0,0,0.25,0.0,0.0,0,0,0,13,3rd line
33,8480891,2023,Michael Kesselring,ARI,D,all,21,14.02539683,27.71,0.95,1.41,2,3,55,9,4,1,6,12,25,3,5,38,1,0,0.85,0.1,0.0,3,1,0,39,2nd pair
34,8480802,2023,Ryan McLeod,EDM,C,all,36,14.59444444,59.52,6.89,3.97,5,3,95,15,7,7,2,4,30,19,24,53,19,7,2.0,2.43,2.46,1,4,2,79,3rd pair
35,8483512,2023,Matt Savoie,BUF,C,all,1,3.916666667,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,2nd line
36,8477503,2023,Max Domi,TOR,C,all,37,12.76036036,56.78,5.27,3.63,10,9,105,22,3,7,15,36,22,12,17,59,13,6,1.46,1.67,2.14,0,1,2,78,3rd pair
37,8478474,2023,Lawson Crouse,ARI,L,all,37,17.09189189,87.15,12.34,6.27,6,2,158,24,16,10,7,17,65,12,16,68,35,15,2.55,4.27,5.52,4,8,4,118,3rd line
38,8481716,2023,Dmitri Voronkov,CBJ,L,all,35,13.24428571,51.53,7.15,4.24,7,6,85,20,7,7,12,27,32,3,5,40,22,9,1.44,2.68,3.03,1,3,3,71,3rd pair
