,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
0,Ilya Lyubushkin,17.46,51.47,1.91,2.99,104,15,0,15,37,73,2,0,1.65,0.26,0.0,2,0,0,75
1,Dominic Toninato,8.4,48.28,6.85,3.49,88,14,1,11,10,34,19,11,1.32,2.41,3.12,1,4,2,64
2,Buddy Robinson,9.25,35.32,3.27,2.1,51,6,4,7,6,32,11,3,0.88,1.4,0.99,0,0,1,46
3,Logan O'Connor,13.87,117.94,12.23,8.13,202,24,10,38,17,102,42,12,3.56,5.1,3.57,2,5,1,156
4,T.J. Tynan,10.84,2.13,0.04,0.11,4,0,0,0,0,3,0,0,0.04,0.0,0.0,0,0,0,3
5,Declan Chisholm,12.95,2.87,0.07,0.14,9,0,0,1,1,4,0,0,0.07,0.0,0.0,0,0,0,4
6,Jayden Halbgewachs,13.09,6.14,0.49,0.38,10,1,0,1,1,8,1,0,0.31,0.17,0.0,0,0,0,9
7,Shea Theodore,23.13,187.65,11.33,13.12,417,52,16,60,58,231,35,7,5.38,3.81,2.14,7,4,3,273
8,Nick Merkley,12.41,8.91,0.88,0.63,15,3,0,7,3,8,3,1,0.26,0.31,0.3,0,0,1,12
9,Kevin Connauton,13.08,26.35,1.44,1.63,67,3,2,6,16,35,3,1,0.75,0.33,0.37,1,0,0,39
10,Alex Steeves,7.97,3.05,0.36,0.25,5,1,0,3,0,3,1,0,0.19,0.17,0.0,0,0,0,4
11,Victor Hedman,25.08,230.46,14.75,15.35,462,85,19,52,56,298,22,11,7.52,2.65,4.59,11,3,6,331
12,Alexander Kerfoot,15.21,119.99,14.74,8.82,193,51,7,36,40,91,54,14,3.27,6.6,4.87,4,6,3,159
13,Isaac Ratcliffe,10.75,15.26,1.37,1.17,22,4,3,2,1,15,4,1,0.54,0.59,0.24,0,0,1,20
