,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
0,9.32,49.47,6.7,3.8,79,15,5,15,16,33,29,7,1.16,3.58,1.96,0,4,1,69
1,15.01,37.1,1.36,1.83,78,14,0,27,20,50,2,0,1.09,0.28,0.0,1,1,0,52
2,13.04,69.79,2.44,3.85,140,5,4,9,18,97,5,0,1.98,0.46,0.0,2,0,0,102
3,14.02,32.17,1.21,1.81,79,8,5,8,12,46,1,0,1.13,0.08,0.0,1,1,0,47
4,16.0,39.69,6.81,2.85,65,16,5,6,12,29,14,10,1.07,1.73,4.02,1,2,4,53
5,15.8,190.88,28.04,15.44,298,49,31,49,38,136,78,39,4.93,9.81,13.3,4,8,11,253
6,16.3,123.75,14.72,8.92,218,36,12,28,9,110,45,15,3.34,5.58,5.8,3,7,4,170
7,17.71,83.65,12.79,6.73,138,31,7,37,42,70,23,20,2.0,2.73,8.07,2,4,9,113
8,17.25,87.62,3.63,4.89,182,8,9,16,17,120,6,0,2.79,0.84,0.0,0,0,0,126
9,16.02,66.72,7.51,4.58,109,16,5,12,11,58,29,6,1.76,3.51,2.23,0,2,3,93
10,18.18,131.88,18.69,10.01,224,38,12,26,34,102,52,23,3.1,6.51,9.07,5,7,10,177
11,16.34,151.16,18.09,11.49,277,46,18,37,26,131,60,15,4.87,7.35,5.88,10,4,5,206
12,15.99,47.28,2.64,2.72,94,8,2,14,7,56,8,2,1.03,1.12,0.49,1,1,1,66
13,14.31,104.58,17.13,8.21,168,23,12,33,13,69,54,21,2.93,6.77,7.42,1,4,9,144
14,10.76,91.25,9.96,6.47,163,22,10,24,16,82,32,11,2.43,3.96,3.57,0,2,6,125
15,16.49,133.71,14.7,9.99,233,46,14,31,31,120,44,12,4.11,5.68,4.91,6,8,5,176
16,12.98,122.54,13.55,8.31,202,18,12,22,8,104,51,12,3.31,6.18,4.06,2,4,4,167
17,14.52,123.75,12.47,8.88,221,40,9,26,40,111,43,13,3.86,5.0,3.61,7,6,3,167
18,14.91,67.78,7.56,4.78,125,29,9,31,19,57,22,11,1.71,2.74,3.11,1,0,1,90
19,14.91,182.02,23.51,12.33,315,45,17,12,19,157,57,30,5.5,6.94,11.08,7,5,8,244
20,10.76,85.35,9.71,6.12,139,10,11,19,10,70,32,13,2.39,4.2,3.13,3,2,4,115
21,10.05,63.41,5.18,4.12,111,13,1,10,18,72,10,7,1.99,1.24,1.96,2,3,3,89
22,19.22,81.15,4.32,5.01,197,14,5,29,30,102,10,5,1.9,1.12,1.3,1,1,1,117
23,14.33,56.82,8.55,4.37,92,25,3,26,17,39,24,12,1.77,3.26,3.52,1,3,2,75
24,14.77,60.63,1.55,3.16,154,11,6,6,27,88,2,0,1.36,0.19,0.0,1,1,0,90
25,16.53,99.02,13.95,9.03,168,34,13,35,34,65,53,16,2.46,6.68,4.8,5,5,5,134
26,14.67,137.97,15.34,9.42,241,28,23,28,22,127,46,17,3.89,5.32,6.13,2,4,5,190
27,20.62,119.04,6.1,8.29,272,33,7,22,46,153,13,5,3.36,1.41,1.33,9,0,1,171
28,24.09,155.27,8.49,10.19,304,49,21,29,51,200,20,3,4.59,2.64,1.25,6,2,3,223
29,19.02,84.83,4.99,5.04,173,20,5,24,43,112,4,5,2.23,0.52,2.24,1,1,1,121
30,18.47,110.53,5.1,6.47,245,19,16,21,50,146,9,2,3.63,1.02,0.45,4,3,0,157
31,14.79,138.82,13.15,9.14,268,23,17,40,36,134,44,13,4.2,5.37,3.58,2,4,4,191
32,12.52,15.25,1.64,1.09,28,1,1,5,2,14,6,1,0.61,0.73,0.3,0,0,0,21
33,17.89,46.81,2.93,3.02,99,9,9,14,12,58,7,2,1.6,0.91,0.42,1,0,1,67
34,14.83,89.5,5.03,5.06,185,13,9,13,32,114,11,3,2.85,1.22,0.96,3,0,0,128
35,15.76,91.34,15.96,8.13,154,28,13,20,21,59,46,23,2.23,5.52,8.22,2,4,6,128
36,16.77,89.81,4.22,5.46,183,23,8,14,38,123,5,3,2.63,0.59,1.0,2,3,0,131
37,11.77,67.72,8.46,4.92,110,14,6,29,4,58,27,9,1.96,3.52,2.99,2,3,2,94
38,16.48,21.1,0.99,1.31,47,3,4,3,9,30,1,0,0.85,0.14,0.0,1,0,0,31
39,16.27,168.55,18.67,12.37,285,40,13,32,34,148,70,15,5.59,8.08,4.99,5,8,5,233
40,11.84,57.92,6.83,3.99,114,7,5,15,12,51,15,11,1.54,2.09,3.21,1,0,2,77
41,11.0,98.89,10.76,6.85,178,16,11,22,21,91,27,14,2.98,3.7,4.09,3,2,4,132
42,14.73,120.55,13.16,8.5,194,26,9,40,19,114,39,12,3.78,5.25,4.13,4,6,4,165
43,16.63,173.29,22.08,11.9,295,41,15,49,30,148,62,26,5.04,7.86,9.18,3,6,5,236
44,10.75,95.36,9.63,6.35,169,19,9,14,15,89,34,9,2.72,4.27,2.64,7,4,1,132
45,20.2,303.74,37.37,20.88,578,75,28,31,52,281,87,44,8.99,10.3,18.09,12,9,21,412
46,13.68,107.06,9.62,6.57,175,34,11,17,20,106,25,13,3.04,2.88,3.69,4,5,6,144
47,14.28,9.8,0.27,0.55,20,1,0,0,0,15,0,0,0.27,0.0,0.0,0,0,0,15
48,20.38,104.26,3.96,6.15,236,25,5,23,45,144,4,3,2.7,0.52,0.74,2,0,1,151
