,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
0,R,73,9.32,49.47,6.7,3.8,5,5,79,15,5,5,1,11,43,196,15,16,33,29,7,1.16,3.58,1.96,0,4,1,69,3rd line
1,D,68,15.01,37.1,1.36,1.83,6,6,78,14,2,0,0,19,38,99,27,20,50,2,0,1.09,0.28,0.0,1,1,0,52,3rd pair
2,D,61,13.04,69.79,2.44,3.85,1,2,140,5,2,4,0,12,36,117,9,18,97,5,0,1.98,0.46,0.0,2,0,0,102,3rd pair
3,D,42,14.02,32.17,1.21,1.81,2,4,79,8,2,5,0,11,25,64,8,12,46,1,0,1.13,0.08,0.0,1,1,0,47,3rd pair
4,C,28,16.0,39.69,6.81,2.85,5,4,65,16,7,5,1,6,12,49,6,12,29,14,10,1.07,1.73,4.02,1,2,4,53,2nd line
5,L,82,15.8,190.88,28.04,15.44,19,7,298,49,23,31,6,40,83,85,49,38,136,78,39,4.93,9.81,13.3,4,8,11,253,2nd line
6,L,59,16.3,123.75,14.72,8.92,13,9,218,36,14,12,3,10,20,27,28,9,110,45,15,3.34,5.58,5.8,3,7,4,170,2nd line
7,C,53,17.71,83.65,12.79,6.73,12,4,138,31,15,7,2,15,33,9,37,42,70,23,20,2.0,2.73,8.07,2,4,9,113,1st line
8,D,63,17.25,87.62,3.63,4.89,5,3,182,8,0,9,0,6,12,121,16,17,120,6,0,2.79,0.84,0.0,0,0,0,126,3rd pair
9,C,41,16.02,66.72,7.51,4.58,6,5,109,16,5,5,2,4,8,47,12,11,58,29,6,1.76,3.51,2.23,0,2,3,93,2nd line
10,C,62,18.18,131.88,18.69,10.01,9,7,224,38,22,12,5,11,22,28,26,34,102,52,23,3.1,6.51,9.07,5,7,10,177,1st line
11,C,81,16.34,151.16,18.09,11.49,14,13,277,46,19,18,2,12,24,85,37,26,131,60,15,4.87,7.35,5.88,10,4,5,206,2nd line
12,D,31,15.99,47.28,2.64,2.72,2,3,94,8,3,2,1,3,6,18,14,7,56,8,2,1.03,1.12,0.49,1,1,1,66,3rd pair
13,C,77,14.31,104.58,17.13,8.21,5,4,168,23,14,12,4,9,21,244,33,13,69,54,21,2.93,6.77,7.42,1,4,9,144,2nd line
14,L,65,10.76,91.25,9.96,6.47,9,5,163,22,8,10,5,6,12,76,24,16,82,32,11,2.43,3.96,3.57,0,2,6,125,3rd line
15,L,80,16.49,133.71,14.7,9.99,17,10,233,46,19,14,2,4,8,26,31,31,120,44,12,4.11,5.68,4.91,6,8,5,176,1st line
16,L,80,12.98,122.54,13.55,8.31,4,4,202,18,10,12,1,7,14,96,22,8,104,51,12,3.31,6.18,4.06,2,4,4,167,3rd line
17,C,79,14.52,123.75,12.47,8.88,17,7,221,40,16,9,1,7,14,15,26,40,111,43,13,3.86,5.0,3.61,7,6,3,167,2nd line
18,L,58,14.91,67.78,7.56,4.78,14,13,125,29,2,9,1,9,18,29,31,19,57,22,11,1.71,2.74,3.11,1,0,1,90,2nd line
19,L,81,14.91,182.02,23.51,12.33,17,8,315,45,20,17,1,12,24,89,12,19,157,57,30,5.5,6.94,11.08,7,5,8,244,2nd line
20,R,51,10.76,85.35,9.71,6.12,1,0,139,10,9,11,1,15,42,146,19,10,70,32,13,2.39,4.2,3.13,3,2,4,115,3rd line
